Date,Nation,Metric,Cases
31/01/2020,England,CumCasesByDate,2
01/02/2020,England,CumCasesByDate,2
02/02/2020,England,CumCasesByDate,2
03/02/2020,England,CumCasesByDate,2
04/02/2020,England,CumCasesByDate,2
05/02/2020,England,CumCasesByDate,2
06/02/2020,England,CumCasesByDate,3
07/02/2020,England,CumCasesByDate,3
08/02/2020,England,CumCasesByDate,3
09/02/2020,England,CumCasesByDate,4
10/02/2020,England,CumCasesByDate,8
11/02/2020,England,CumCasesByDate,8
12/02/2020,England,CumCasesByDate,8
13/02/2020,England,CumCasesByDate,9
14/02/2020,England,CumCasesByDate,9
15/02/2020,England,CumCasesByDate,9
16/02/2020,England,CumCasesByDate,9
17/02/2020,England,CumCasesByDate,9
18/02/2020,England,CumCasesByDate,9
19/02/2020,England,CumCasesByDate,9
20/02/2020,England,CumCasesByDate,9
21/02/2020,England,CumCasesByDate,9
22/02/2020,England,CumCasesByDate,9
23/02/2020,England,CumCasesByDate,9
24/02/2020,England,CumCasesByDate,13
25/02/2020,England,CumCasesByDate,13
26/02/2020,England,CumCasesByDate,13
27/02/2020,England,CumCasesByDate,13
28/02/2020,England,CumCasesByDate,18
28/02/2020,Wales,CumCasesByDate,1
29/02/2020,Northern Ireland,CumCasesByDate,1
29/02/2020,Wales,CumCasesByDate,1
29/02/2020,England,CumCasesByDate,21
01/03/2020,England,CumCasesByDate,33
01/03/2020,Wales,CumCasesByDate,1
01/03/2020,Northern Ireland,CumCasesByDate,1
02/03/2020,Northern Ireland,CumCasesByDate,1
02/03/2020,Wales,CumCasesByDate,1
02/03/2020,Scotland,CumCasesByDate,1
02/03/2020,England,CumCasesByDate,37
03/03/2020,England,CumCasesByDate,48
03/03/2020,Scotland,CumCasesByDate,1
03/03/2020,Wales,CumCasesByDate,1
03/03/2020,Northern Ireland,CumCasesByDate,1
04/03/2020,Scotland,CumCasesByDate,3
04/03/2020,Northern Ireland,CumCasesByDate,3
04/03/2020,Wales,CumCasesByDate,1
04/03/2020,England,CumCasesByDate,80
05/03/2020,England,CumCasesByDate,105
05/03/2020,Northern Ireland,CumCasesByDate,3
05/03/2020,Scotland,CumCasesByDate,6
05/03/2020,Wales,CumCasesByDate,2
06/03/2020,Northern Ireland,CumCasesByDate,2
06/03/2020,Wales,CumCasesByDate,2
06/03/2020,Scotland,CumCasesByDate,11
06/03/2020,England,CumCasesByDate,144
07/03/2020,England,CumCasesByDate,183
07/03/2020,Wales,CumCasesByDate,2
07/03/2020,Scotland,CumCasesByDate,16
07/03/2020,Northern Ireland,CumCasesByDate,4
08/03/2020,Wales,CumCasesByDate,2
08/03/2020,Scotland,CumCasesByDate,18
08/03/2020,Northern Ireland,CumCasesByDate,9
08/03/2020,England,CumCasesByDate,241
09/03/2020,England,CumCasesByDate,282
09/03/2020,Wales,CumCasesByDate,4
09/03/2020,Northern Ireland,CumCasesByDate,12
09/03/2020,Scotland,CumCasesByDate,23
10/03/2020,Scotland,CumCasesByDate,27
10/03/2020,Northern Ireland,CumCasesByDate,16
10/03/2020,Wales,CumCasesByDate,6
10/03/2020,England,CumCasesByDate,324
11/03/2020,England,CumCasesByDate,387
11/03/2020,Northern Ireland,CumCasesByDate,18
11/03/2020,Wales,CumCasesByDate,15
11/03/2020,Scotland,CumCasesByDate,36
12/03/2020,Wales,CumCasesByDate,25
12/03/2020,Northern Ireland,CumCasesByDate,19
12/03/2020,Scotland,CumCasesByDate,60
12/03/2020,England,CumCasesByDate,486
13/03/2020,England,CumCasesByDate,645
13/03/2020,Northern Ireland,CumCasesByDate,29
13/03/2020,Scotland,CumCasesByDate,85
13/03/2020,Wales,CumCasesByDate,38
14/03/2020,Wales,CumCasesByDate,60
14/03/2020,Northern Ireland,CumCasesByDate,34
14/03/2020,Scotland,CumCasesByDate,121
14/03/2020,England,CumCasesByDate,846
15/03/2020,England,CumCasesByDate,1099
15/03/2020,Wales,CumCasesByDate,94
15/03/2020,Scotland,CumCasesByDate,153
15/03/2020,Northern Ireland,CumCasesByDate,45
16/03/2020,Scotland,CumCasesByDate,171
16/03/2020,Northern Ireland,CumCasesByDate,52
16/03/2020,Wales,CumCasesByDate,124
16/03/2020,England,CumCasesByDate,1196
17/03/2020,England,CumCasesByDate,1557
17/03/2020,Northern Ireland,CumCasesByDate,62
17/03/2020,Wales,CumCasesByDate,136
17/03/2020,Scotland,CumCasesByDate,195
18/03/2020,Northern Ireland,CumCasesByDate,68
18/03/2020,Scotland,CumCasesByDate,227
18/03/2020,Wales,CumCasesByDate,149
18/03/2020,England,CumCasesByDate,2182
19/03/2020,England,CumCasesByDate,2756
19/03/2020,Wales,CumCasesByDate,170
19/03/2020,Scotland,CumCasesByDate,266
19/03/2020,Northern Ireland,CumCasesByDate,77
20/03/2020,Scotland,CumCasesByDate,322
20/03/2020,Northern Ireland,CumCasesByDate,86
