Date,Nation,Metric,Cases
31/01/2020,England,CasesByDate,2
01/02/2020,England,CasesByDate,0
02/02/2020,England,CasesByDate,0
03/02/2020,England,CasesByDate,0
04/02/2020,England,CasesByDate,0
05/02/2020,England,CasesByDate,0
06/02/2020,England,CasesByDate,1
07/02/2020,England,CasesByDate,0
08/02/2020,England,CasesByDate,0
09/02/2020,England,CasesByDate,1
10/02/2020,England,CasesByDate,4
11/02/2020,England,CasesByDate,0
12/02/2020,England,CasesByDate,0
13/02/2020,England,CasesByDate,1
14/02/2020,England,CasesByDate,0
15/02/2020,England,CasesByDate,0
16/02/2020,England,CasesByDate,0
17/02/2020,England,CasesByDate,0
18/02/2020,England,CasesByDate,0
19/02/2020,England,CasesByDate,0
20/02/2020,England,CasesByDate,0
21/02/2020,England,CasesByDate,0
22/02/2020,England,CasesByDate,0
23/02/2020,England,CasesByDate,0
24/02/2020,England,CasesByDate,4
25/02/2020,England,CasesByDate,0
26/02/2020,England,CasesByDate,0
27/02/2020,England,CasesByDate,0
28/02/2020,England,CasesByDate,5
28/02/2020,Wales,CasesByDate,1
29/02/2020,Wales,CasesByDate,0
29/02/2020,England,CasesByDate,3
29/02/2020,Northern Ireland,CasesByDate,1
01/03/2020,Northern Ireland,CasesByDate,0
01/03/2020,Wales,CasesByDate,0
01/03/2020,England,CasesByDate,12
02/03/2020,England,CasesByDate,4
02/03/2020,Scotland,CasesByDate,1
02/03/2020,Northern Ireland,CasesByDate,0
02/03/2020,Wales,CasesByDate,0
03/03/2020,Wales,CasesByDate,0
03/03/2020,England,CasesByDate,11
03/03/2020,Northern Ireland,CasesByDate,0
03/03/2020,Scotland,CasesByDate,0
04/03/2020,Scotland,CasesByDate,2
04/03/2020,Northern Ireland,CasesByDate,2
04/03/2020,Wales,CasesByDate,0
04/03/2020,England,CasesByDate,32
05/03/2020,England,CasesByDate,25
05/03/2020,Scotland,CasesByDate,3
05/03/2020,Northern Ireland,CasesByDate,0
05/03/2020,Wales,CasesByDate,1
06/03/2020,Wales,CasesByDate,0
06/03/2020,England,CasesByDate,39
06/03/2020,Northern Ireland,CasesByDate,2
06/03/2020,Scotland,CasesByDate,5
07/03/2020,Northern Ireland,CasesByDate,2
07/03/2020,Scotland,CasesByDate,5
07/03/2020,Wales,CasesByDate,0
07/03/2020,England,CasesByDate,39
08/03/2020,England,CasesByDate,58
08/03/2020,Northern Ireland,CasesByDate,5
08/03/2020,Scotland,CasesByDate,2
08/03/2020,Wales,CasesByDate,0
09/03/2020,Wales,CasesByDate,2
09/03/2020,England,CasesByDate,40
09/03/2020,Northern Ireland,CasesByDate,3
09/03/2020,Scotland,CasesByDate,5
10/03/2020,Northern Ireland,CasesByDate,0
10/03/2020,Scotland,CasesByDate,4
10/03/2020,Wales,CasesByDate,2
10/03/2020,England,CasesByDate,46
