Date,Nation,Metric,Deaths
30/01/2020,England,DeathsByDate,1
31/01/2020,England,DeathsByDate,0
01/02/2020,England,DeathsByDate,0
02/02/2020,England,DeathsByDate,1
03/02/2020,England,DeathsByDate,0
04/02/2020,England,DeathsByDate,0
05/02/2020,England,DeathsByDate,0
06/02/2020,England,DeathsByDate,0
07/02/2020,England,DeathsByDate,0
08/02/2020,England,DeathsByDate,0
09/02/2020,England,DeathsByDate,0
10/02/2020,England,DeathsByDate,0
11/02/2020,England,DeathsByDate,0
12/02/2020,England,DeathsByDate,0
13/02/2020,England,DeathsByDate,0
14/02/2020,England,DeathsByDate,0
15/02/2020,England,DeathsByDate,0
16/02/2020,England,DeathsByDate,0
17/02/2020,England,DeathsByDate,0
18/02/2020,England,DeathsByDate,0
19/02/2020,England,DeathsByDate,0
20/02/2020,England,DeathsByDate,0
21/02/2020,England,DeathsByDate,0
22/02/2020,England,DeathsByDate,1
23/02/2020,England,DeathsByDate,0
24/02/2020,England,DeathsByDate,0
25/02/2020,England,DeathsByDate,0
26/02/2020,England,DeathsByDate,0
27/02/2020,England,DeathsByDate,0
28/02/2020,England,DeathsByDate,0
29/02/2020,England,DeathsByDate,0
01/03/2020,England,DeathsByDate,0
02/03/2020,England,DeathsByDate,1
03/03/2020,England,DeathsByDate,0
04/03/2020,England,DeathsByDate,1
05/03/2020,England,DeathsByDate,2
06/03/2020,England,DeathsByDate,2
07/03/2020,England,DeathsByDate,0
08/03/2020,England,DeathsByDate,2
09/03/2020,England,DeathsByDate,5
10/03/2020,England,DeathsByDate,3
11/03/2020,England,DeathsByDate,7
12/03/2020,Scotland,DeathsByDate,2
12/03/2020,England,DeathsByDate,11
13/03/2020,England,DeathsByDate,16
13/03/2020,Scotland,DeathsByDate,0
14/03/2020,England,DeathsByDate,19
14/03/2020,Scotland,DeathsByDate,2
15/03/2020,Scotland,DeathsByDate,1
15/03/2020,England,DeathsByDate,28
15/03/2020,Wales,DeathsByDate,1
16/03/2020,England,DeathsByDate,44
16/03/2020,Scotland,DeathsByDate,3
16/03/2020,Wales,DeathsByDate,3
17/03/2020,England,DeathsByDate,54
17/03/2020,Wales,DeathsByDate,1
17/03/2020,Scotland,DeathsByDate,3
18/03/2020,England,DeathsByDate,66
18/03/2020,Wales,DeathsByDate,2
18/03/2020,Scotland,DeathsByDate,4
18/03/2020,Northern Ireland,DeathsByDate,1
19/03/2020,Northern Ireland,DeathsByDate,0
19/03/2020,Scotland,DeathsByDate,4
19/03/2020,England,DeathsByDate,71
19/03/2020,Wales,DeathsByDate,4
20/03/2020,England,DeathsByDate,109
20/03/2020,Wales,DeathsByDate,4
20/03/2020,Scotland,DeathsByDate,5
20/03/2020,Northern Ireland,DeathsByDate,0
21/03/2020,Northern Ireland,DeathsByDate,1
21/03/2020,England,DeathsByDate,126
21/03/2020,Wales,DeathsByDate,9
21/03/2020,Scotland,DeathsByDate,7
22/03/2020,Scotland,DeathsByDate,6
22/03/2020,England,DeathsByDate,172
22/03/2020,Wales,DeathsByDate,4
22/03/2020,Northern Ireland,DeathsByDate,1
23/03/2020,Northern Ireland,DeathsByDate,4
23/03/2020,England,DeathsByDate,188
23/03/2020,Scotland,DeathsByDate,7
23/03/2020,Wales,DeathsByDate,7
24/03/2020,Wales,DeathsByDate,11
24/03/2020,Scotland,DeathsByDate,12
24/03/2020,England,DeathsByDate,237
24/03/2020,Northern Ireland,DeathsByDate,3
25/03/2020,Northern Ireland,DeathsByDate,4
25/03/2020,England,DeathsByDate,299
25/03/2020,Scotland,DeathsByDate,22
25/03/2020,Wales,DeathsByDate,12
26/03/2020,Wales,DeathsByDate,12
26/03/2020,England,DeathsByDate,370
26/03/2020,Scotland,DeathsByDate,24
26/03/2020,Northern Ireland,DeathsByDate,4
27/03/2020,Northern Ireland,DeathsByDate,6
27/03/2020,Wales,DeathsByDate,18
27/03/2020,England,DeathsByDate,416
27/03/2020,Scotland,DeathsByDate,23
28/03/2020,Scotland,DeathsByDate,37
28/03/2020,Wales,DeathsByDate,21
28/03/2020,England,DeathsByDate,449
28/03/2020,Northern Ireland,DeathsByDate,9
29/03/2020,Northern Ireland,DeathsByDate,4
29/03/2020,Scotland,DeathsByDate,27
29/03/2020,England,DeathsByDate,531
29/03/2020,Wales,DeathsByDate,23
30/03/2020,England,DeathsByDate,631
30/03/2020,Wales,DeathsByDate,21
30/03/2020,Scotland,DeathsByDate,51
30/03/2020,Northern Ireland,DeathsByDate,7
31/03/2020,Northern Ireland,DeathsByDate,8
31/03/2020,Scotland,DeathsByDate,57
31/03/2020,England,DeathsByDate,741
31/03/2020,Wales,DeathsByDate,21
01/04/2020,England,DeathsByDate,826
01/04/2020,Wales,DeathsByDate,24
01/04/2020,Scotland,DeathsByDate,65
01/04/2020,Northern Ireland,DeathsByDate,7
02/04/2020,Northern Ireland,DeathsByDate,14
02/04/2020,Wales,DeathsByDate,39
02/04/2020,England,DeathsByDate,892
02/04/2020,Scotland,DeathsByDate,61
03/04/2020,England,DeathsByDate,927
03/04/2020,Wales,DeathsByDate,41
03/04/2020,Scotland,DeathsByDate,75
03/04/2020,Northern Ireland,DeathsByDate,13
04/04/2020,Northern Ireland,DeathsByDate,14
04/04/2020,England,DeathsByDate,1023
04/04/2020,Wales,DeathsByDate,53
04/04/2020,Scotland,DeathsByDate,56
05/04/2020,Wales,DeathsByDate,54
05/04/2020,England,DeathsByDate,1063
05/04/2020,Scotland,DeathsByDate,86
05/04/2020,Northern Ireland,DeathsByDate,16
06/04/2020,Northern Ireland,DeathsByDate,7
06/04/2020,Wales,DeathsByDate,45
06/04/2020,England,DeathsByDate,1025
06/04/2020,Scotland,DeathsByDate,91
07/04/2020,Scotland,DeathsByDate,85
07/04/2020,England,DeathsByDate,1145
07/04/2020,Wales,DeathsByDate,53
07/04/2020,Northern Ireland,DeathsByDate,9
08/04/2020,Northern Ireland,DeathsByDate,9
08/04/2020,Wales,DeathsByDate,72
08/04/2020,Scotland,DeathsByDate,92
08/04/2020,England,DeathsByDate,1286
09/04/2020,England,DeathsByDate,1177
09/04/2020,Wales,DeathsByDate,61
09/04/2020,Scotland,DeathsByDate,108
09/04/2020,Northern Ireland,DeathsByDate,25
10/04/2020,Northern Ireland,DeathsByDate,9
10/04/2020,Scotland,DeathsByDate,98
10/04/2020,England,DeathsByDate,1163
10/04/2020,Wales,DeathsByDate,49
11/04/2020,Wales,DeathsByDate,50
11/04/2020,England,DeathsByDate,1203
11/04/2020,Scotland,DeathsByDate,94
11/04/2020,Northern Ireland,DeathsByDate,15
12/04/2020,Northern Ireland,DeathsByDate,20
12/04/2020,Scotland,DeathsByDate,75
12/04/2020,England,DeathsByDate,1208
12/04/2020,Wales,DeathsByDate,73
13/04/2020,Scotland,DeathsByDate,81
13/04/2020,England,DeathsByDate,1076
13/04/2020,Wales,DeathsByDate,57
13/04/2020,Northern Ireland,DeathsByDate,16
14/04/2020,Northern Ireland,DeathsByDate,16
14/04/2020,Wales,DeathsByDate,56
14/04/2020,Scotland,DeathsByDate,100
14/04/2020,England,DeathsByDate,1080
15/04/2020,Wales,DeathsByDate,60
15/04/2020,England,DeathsByDate,1100
15/04/2020,Scotland,DeathsByDate,94
15/04/2020,Northern Ireland,DeathsByDate,21
16/04/2020,Northern Ireland,DeathsByDate,16
16/04/2020,England,DeathsByDate,1147
16/04/2020,Wales,DeathsByDate,56
16/04/2020,Scotland,DeathsByDate,101
17/04/2020,England,DeathsByDate,1107
17/04/2020,Wales,DeathsByDate,62
17/04/2020,Scotland,DeathsByDate,84
17/04/2020,Northern Ireland,DeathsByDate,14
18/04/2020,Northern Ireland,DeathsByDate,10
18/04/2020,Scotland,DeathsByDate,95
18/04/2020,England,DeathsByDate,1030
18/04/2020,Wales,DeathsByDate,53
19/04/2020,Wales,DeathsByDate,49
19/04/2020,Scotland,DeathsByDate,90
19/04/2020,England,DeathsByDate,967
19/04/2020,Northern Ireland,DeathsByDate,16
20/04/2020,Northern Ireland,DeathsByDate,15
20/04/2020,Wales,DeathsByDate,47
20/04/2020,Scotland,DeathsByDate,105
20/04/2020,England,DeathsByDate,992
21/04/2020,England,DeathsByDate,916
21/04/2020,Scotland,DeathsByDate,96
21/04/2020,Wales,DeathsByDate,54
21/04/2020,Northern Ireland,DeathsByDate,16
22/04/2020,Northern Ireland,DeathsByDate,25
22/04/2020,Scotland,DeathsByDate,88
22/04/2020,Wales,DeathsByDate,49
22/04/2020,England,DeathsByDate,939
23/04/2020,Scotland,DeathsByDate,72
23/04/2020,Wales,DeathsByDate,50
23/04/2020,England,DeathsByDate,893
23/04/2020,Northern Ireland,DeathsByDate,22
24/04/2020,Northern Ireland,DeathsByDate,11
24/04/2020,Wales,DeathsByDate,43
24/04/2020,Scotland,DeathsByDate,76
24/04/2020,England,DeathsByDate,874
25/04/2020,Scotland,DeathsByDate,79
25/04/2020,England,DeathsByDate,771
25/04/2020,Wales,DeathsByDate,48
25/04/2020,Northern Ireland,DeathsByDate,20
26/04/2020,Northern Ireland,DeathsByDate,17
26/04/2020,Wales,DeathsByDate,36
26/04/2020,England,DeathsByDate,763
26/04/2020,Scotland,DeathsByDate,78
27/04/2020,Wales,DeathsByDate,35
27/04/2020,England,DeathsByDate,724
27/04/2020,Scotland,DeathsByDate,85
27/04/2020,Northern Ireland,DeathsByDate,22
28/04/2020,Northern Ireland,DeathsByDate,10
28/04/2020,Wales,DeathsByDate,30
28/04/2020,England,DeathsByDate,701
28/04/2020,Scotland,DeathsByDate,59
29/04/2020,Scotland,DeathsByDate,69
29/04/2020,Wales,DeathsByDate,34
29/04/2020,England,DeathsByDate,699
29/04/2020,Northern Ireland,DeathsByDate,15
30/04/2020,Northern Ireland,DeathsByDate,13
30/04/2020,England,DeathsByDate,660
30/04/2020,Scotland,DeathsByDate,68
30/04/2020,Wales,DeathsByDate,39
01/05/2020,Scotland,DeathsByDate,67
01/05/2020,England,DeathsByDate,661
01/05/2020,Wales,DeathsByDate,35
01/05/2020,Northern Ireland,DeathsByDate,22
02/05/2020,Northern Ireland,DeathsByDate,20
02/05/2020,England,DeathsByDate,590
02/05/2020,Wales,DeathsByDate,35
02/05/2020,Scotland,DeathsByDate,60
03/05/2020,Scotland,DeathsByDate,60
03/05/2020,Wales,DeathsByDate,27
03/05/2020,England,DeathsByDate,556
03/05/2020,Northern Ireland,DeathsByDate,18
04/05/2020,Northern Ireland,DeathsByDate,14
04/05/2020,Scotland,DeathsByDate,62
04/05/2020,Wales,DeathsByDate,38
04/05/2020,England,DeathsByDate,562
05/05/2020,Scotland,DeathsByDate,67
05/05/2020,England,DeathsByDate,537
05/05/2020,Wales,DeathsByDate,31
05/05/2020,Northern Ireland,DeathsByDate,7
06/05/2020,Northern Ireland,DeathsByDate,7
06/05/2020,England,DeathsByDate,524
06/05/2020,Scotland,DeathsByDate,59
06/05/2020,Wales,DeathsByDate,37
07/05/2020,Wales,DeathsByDate,26
07/05/2020,Scotland,DeathsByDate,61
07/05/2020,England,DeathsByDate,535
07/05/2020,Northern Ireland,DeathsByDate,7
08/05/2020,Northern Ireland,DeathsByDate,9
08/05/2020,England,DeathsByDate,482
08/05/2020,Scotland,DeathsByDate,58
08/05/2020,Wales,DeathsByDate,19
09/05/2020,England,DeathsByDate,463
09/05/2020,Wales,DeathsByDate,17
09/05/2020,Scotland,DeathsByDate,50
09/05/2020,Northern Ireland,DeathsByDate,9
10/05/2020,Northern Ireland,DeathsByDate,13
10/05/2020,Scotland,DeathsByDate,38
10/05/2020,Wales,DeathsByDate,19
10/05/2020,England,DeathsByDate,423
11/05/2020,Scotland,DeathsByDate,45
11/05/2020,England,DeathsByDate,355
11/05/2020,Wales,DeathsByDate,21
11/05/2020,Northern Ireland,DeathsByDate,6
12/05/2020,Northern Ireland,DeathsByDate,7
12/05/2020,Wales,DeathsByDate,19
12/05/2020,Scotland,DeathsByDate,35
12/05/2020,England,DeathsByDate,380
13/05/2020,England,DeathsByDate,373
13/05/2020,Wales,DeathsByDate,22
13/05/2020,Scotland,DeathsByDate,53
13/05/2020,Northern Ireland,DeathsByDate,6
14/05/2020,Northern Ireland,DeathsByDate,15
14/05/2020,England,DeathsByDate,373
14/05/2020,Scotland,DeathsByDate,50
14/05/2020,Wales,DeathsByDate,27
15/05/2020,Wales,DeathsByDate,19
15/05/2020,Scotland,DeathsByDate,34
15/05/2020,England,DeathsByDate,359
15/05/2020,Northern Ireland,DeathsByDate,9
16/05/2020,Northern Ireland,DeathsByDate,4
16/05/2020,Wales,DeathsByDate,27
16/05/2020,England,DeathsByDate,351
16/05/2020,Scotland,DeathsByDate,37
17/05/2020,Wales,DeathsByDate,17
17/05/2020,England,DeathsByDate,316
17/05/2020,Scotland,DeathsByDate,34
17/05/2020,Northern Ireland,DeathsByDate,10
18/05/2020,Northern Ireland,DeathsByDate,10
18/05/2020,Wales,DeathsByDate,19
18/05/2020,England,DeathsByDate,344
18/05/2020,Scotland,DeathsByDate,34
19/05/2020,England,DeathsByDate,316
19/05/2020,Scotland,DeathsByDate,31
19/05/2020,Wales,DeathsByDate,15
19/05/2020,Northern Ireland,DeathsByDate,9
20/05/2020,Northern Ireland,DeathsByDate,8
20/05/2020,Scotland,DeathsByDate,29
20/05/2020,England,DeathsByDate,303
20/05/2020,Wales,DeathsByDate,13
21/05/2020,England,DeathsByDate,286
21/05/2020,Scotland,DeathsByDate,34
21/05/2020,Wales,DeathsByDate,16
21/05/2020,Northern Ireland,DeathsByDate,6
22/05/2020,Northern Ireland,DeathsByDate,6
22/05/2020,Scotland,DeathsByDate,19
22/05/2020,Wales,DeathsByDate,19
22/05/2020,England,DeathsByDate,256
23/05/2020,Wales,DeathsByDate,10
23/05/2020,England,DeathsByDate,255
23/05/2020,Scotland,DeathsByDate,15
23/05/2020,Northern Ireland,DeathsByDate,4
24/05/2020,Northern Ireland,DeathsByDate,12
24/05/2020,England,DeathsByDate,234
24/05/2020,Wales,DeathsByDate,21
24/05/2020,Scotland,DeathsByDate,14
25/05/2020,England,DeathsByDate,240
25/05/2020,Scotland,DeathsByDate,22
25/05/2020,Wales,DeathsByDate,14
25/05/2020,Northern Ireland,DeathsByDate,3
26/05/2020,Northern Ireland,DeathsByDate,2
26/05/2020,England,DeathsByDate,260
26/05/2020,Scotland,DeathsByDate,21
26/05/2020,Wales,DeathsByDate,16
27/05/2020,Scotland,DeathsByDate,23
27/05/2020,Wales,DeathsByDate,18
27/05/2020,England,DeathsByDate,233
27/05/2020,Northern Ireland,DeathsByDate,7
28/05/2020,Northern Ireland,DeathsByDate,5
28/05/2020,Wales,DeathsByDate,20
28/05/2020,Scotland,DeathsByDate,22
28/05/2020,England,DeathsByDate,241
29/05/2020,England,DeathsByDate,216
29/05/2020,Wales,DeathsByDate,14
29/05/2020,Scotland,DeathsByDate,19
29/05/2020,Northern Ireland,DeathsByDate,5
30/05/2020,Northern Ireland,DeathsByDate,2
30/05/2020,Scotland,DeathsByDate,12
30/05/2020,Wales,DeathsByDate,17
30/05/2020,England,DeathsByDate,188
31/05/2020,England,DeathsByDate,175
31/05/2020,Wales,DeathsByDate,6
31/05/2020,Scotland,DeathsByDate,11
31/05/2020,Northern Ireland,DeathsByDate,3
01/06/2020,Northern Ireland,DeathsByDate,3
01/06/2020,Wales,DeathsByDate,11
01/06/2020,England,DeathsByDate,179
01/06/2020,Scotland,DeathsByDate,6
02/06/2020,Wales,DeathsByDate,8
02/06/2020,England,DeathsByDate,204
02/06/2020,Scotland,DeathsByDate,14
02/06/2020,Northern Ireland,DeathsByDate,7
03/06/2020,Northern Ireland,DeathsByDate,3
03/06/2020,Scotland,DeathsByDate,12
03/06/2020,England,DeathsByDate,179
03/06/2020,Wales,DeathsByDate,9
04/06/2020,Scotland,DeathsByDate,5
04/06/2020,England,DeathsByDate,163
04/06/2020,Wales,DeathsByDate,12
04/06/2020,Northern Ireland,DeathsByDate,3
