Date,Nation,Metric,Deaths
03/01/2020,Wales,CumDeathsByDate,
03/01/2020,Scotland,CumDeathsByDate,
03/01/2020,Northern Ireland,CumDeathsByDate,
04/01/2020,Northern Ireland,CumDeathsByDate,
04/01/2020,Wales,CumDeathsByDate,
04/01/2020,Scotland,CumDeathsByDate,
05/01/2020,Wales,CumDeathsByDate,
05/01/2020,Scotland,CumDeathsByDate,
05/01/2020,Northern Ireland,CumDeathsByDate,
06/01/2020,Northern Ireland,CumDeathsByDate,
06/01/2020,Scotland,CumDeathsByDate,
06/01/2020,Wales,CumDeathsByDate,
07/01/2020,Wales,CumDeathsByDate,
07/01/2020,Northern Ireland,CumDeathsByDate,
07/01/2020,Scotland,CumDeathsByDate,
08/01/2020,Scotland,CumDeathsByDate,
08/01/2020,Wales,CumDeathsByDate,
08/01/2020,Northern Ireland,CumDeathsByDate,
09/01/2020,Northern Ireland,CumDeathsByDate,
09/01/2020,Scotland,CumDeathsByDate,
09/01/2020,Wales,CumDeathsByDate,
10/01/2020,Wales,CumDeathsByDate,
10/01/2020,Northern Ireland,CumDeathsByDate,
10/01/2020,Scotland,CumDeathsByDate,
11/01/2020,Scotland,CumDeathsByDate,
11/01/2020,Wales,CumDeathsByDate,
11/01/2020,Northern Ireland,CumDeathsByDate,
12/01/2020,Northern Ireland,CumDeathsByDate,
12/01/2020,Scotland,CumDeathsByDate,
12/01/2020,Wales,CumDeathsByDate,
13/01/2020,Wales,CumDeathsByDate,
13/01/2020,Northern Ireland,CumDeathsByDate,
13/01/2020,Scotland,CumDeathsByDate,
14/01/2020,Scotland,CumDeathsByDate,
14/01/2020,Wales,CumDeathsByDate,
14/01/2020,Northern Ireland,CumDeathsByDate,
15/01/2020,Northern Ireland,CumDeathsByDate,
15/01/2020,Scotland,CumDeathsByDate,
15/01/2020,Wales,CumDeathsByDate,
16/01/2020,Wales,CumDeathsByDate,
16/01/2020,Northern Ireland,CumDeathsByDate,
16/01/2020,Scotland,CumDeathsByDate,
17/01/2020,Scotland,CumDeathsByDate,
17/01/2020,Wales,CumDeathsByDate,
17/01/2020,Northern Ireland,CumDeathsByDate,
18/01/2020,Northern Ireland,CumDeathsByDate,
18/01/2020,Scotland,CumDeathsByDate,
18/01/2020,Wales,CumDeathsByDate,
19/01/2020,Wales,CumDeathsByDate,
19/01/2020,Northern Ireland,CumDeathsByDate,
19/01/2020,Scotland,CumDeathsByDate,
20/01/2020,Scotland,CumDeathsByDate,
20/01/2020,Wales,CumDeathsByDate,
20/01/2020,Northern Ireland,CumDeathsByDate,
21/01/2020,Northern Ireland,CumDeathsByDate,
21/01/2020,Scotland,CumDeathsByDate,
21/01/2020,Wales,CumDeathsByDate,
22/01/2020,Wales,CumDeathsByDate,
22/01/2020,Northern Ireland,CumDeathsByDate,
22/01/2020,Scotland,CumDeathsByDate,
23/01/2020,Scotland,CumDeathsByDate,
23/01/2020,Wales,CumDeathsByDate,
