Date,Nation,Metric,Admissions
01/03/2020,Scotland,NewAdmissions,3
02/03/2020,Scotland,NewAdmissions,11
02/03/2020,Northern Ireland,NewAdmissions,1
03/03/2020,Northern Ireland,NewAdmissions,0
03/03/2020,Scotland,NewAdmissions,14
04/03/2020,Scotland,NewAdmissions,9
04/03/2020,Northern Ireland,NewAdmissions,0
05/03/2020,Scotland,NewAdmissions,18
05/03/2020,Northern Ireland,NewAdmissions,1
06/03/2020,Scotland,NewAdmissions,23
06/03/2020,Northern Ireland,NewAdmissions,3
07/03/2020,Northern Ireland,NewAdmissions,0
07/03/2020,Scotland,NewAdmissions,9
08/03/2020,Northern Ireland,NewAdmissions,0
08/03/2020,Scotland,NewAdmissions,10
09/03/2020,Scotland,NewAdmissions,19
09/03/2020,Northern Ireland,NewAdmissions,1
10/03/2020,Northern Ireland,NewAdmissions,2
10/03/2020,Scotland,NewAdmissions,29
11/03/2020,Scotland,NewAdmissions,27
11/03/2020,Northern Ireland,NewAdmissions,1
12/03/2020,Scotland,NewAdmissions,23
12/03/2020,Northern Ireland,NewAdmissions,0
13/03/2020,Scotland,NewAdmissions,24
13/03/2020,Northern Ireland,NewAdmissions,0
14/03/2020,Northern Ireland,NewAdmissions,0
14/03/2020,Scotland,NewAdmissions,21
15/03/2020,Northern Ireland,NewAdmissions,0
15/03/2020,Scotland,NewAdmissions,17
16/03/2020,Northern Ireland,NewAdmissions,1
16/03/2020,Scotland,NewAdmissions,30
17/03/2020,Scotland,NewAdmissions,42
17/03/2020,England,NewAdmissions,391
17/03/2020,Northern Ireland,NewAdmissions,0
18/03/2020,England,NewAdmissions,586
18/03/2020,Scotland,NewAdmissions,45
18/03/2020,Northern Ireland,NewAdmissions,0
19/03/2020,Scotland,NewAdmissions,44
19/03/2020,England,NewAdmissions,586
19/03/2020,Northern Ireland,NewAdmissions,0
20/03/2020,Scotland,NewAdmissions,72
20/03/2020,England,NewAdmissions,691
20/03/2020,Northern Ireland,NewAdmissions,0
21/03/2020,England,NewAdmissions,777
21/03/2020,Northern Ireland,NewAdmissions,0
21/03/2020,Scotland,NewAdmissions,64
22/03/2020,Scotland,NewAdmissions,53
22/03/2020,Northern Ireland,NewAdmissions,0
22/03/2020,England,NewAdmissions,859
22/03/2020,Wales,NewAdmissions,32
23/03/2020,Wales,NewAdmissions,32
23/03/2020,Northern Ireland,NewAdmissions,7
23/03/2020,Scotland,NewAdmissions,95
23/03/2020,England,NewAdmissions,1128
24/03/2020,Scotland,NewAdmissions,96
24/03/2020,England,NewAdmissions,1544
24/03/2020,Northern Ireland,NewAdmissions,3
24/03/2020,Wales,NewAdmissions,63
25/03/2020,Wales,NewAdmissions,178
25/03/2020,Scotland,NewAdmissions,125
25/03/2020,England,NewAdmissions,1755
25/03/2020,Northern Ireland,NewAdmissions,3
26/03/2020,Northern Ireland,NewAdmissions,5
26/03/2020,Scotland,NewAdmissions,157
26/03/2020,England,NewAdmissions,1639
26/03/2020,Wales,NewAdmissions,107
27/03/2020,Wales,NewAdmissions,118
27/03/2020,England,NewAdmissions,1931
27/03/2020,Northern Ireland,NewAdmissions,9
27/03/2020,Scotland,NewAdmissions,150
28/03/2020,Northern Ireland,NewAdmissions,11
28/03/2020,England,NewAdmissions,1873
28/03/2020,Scotland,NewAdmissions,160
28/03/2020,Wales,NewAdmissions,126
29/03/2020,Wales,NewAdmissions,133
29/03/2020,England,NewAdmissions,2186
29/03/2020,Northern Ireland,NewAdmissions,12
29/03/2020,Scotland,NewAdmissions,139
30/03/2020,Scotland,NewAdmissions,190
30/03/2020,Northern Ireland,NewAdmissions,10
30/03/2020,England,NewAdmissions,2817
30/03/2020,Wales,NewAdmissions,147
31/03/2020,Wales,NewAdmissions,158
31/03/2020,Northern Ireland,NewAdmissions,18
31/03/2020,Scotland,NewAdmissions,186
31/03/2020,England,NewAdmissions,2447
01/04/2020,Northern Ireland,NewAdmissions,17
01/04/2020,Scotland,NewAdmissions,214
01/04/2020,England,NewAdmissions,3099
01/04/2020,Wales,NewAdmissions,207
02/04/2020,Wales,NewAdmissions,139
02/04/2020,Scotland,NewAdmissions,169
02/04/2020,England,NewAdmissions,2932
02/04/2020,Northern Ireland,NewAdmissions,16
03/04/2020,England,NewAdmissions,2564
03/04/2020,Northern Ireland,NewAdmissions,17
03/04/2020,Scotland,NewAdmissions,214
03/04/2020,Wales,NewAdmissions,110
04/04/2020,Wales,NewAdmissions,134
04/04/2020,England,NewAdmissions,2593
04/04/2020,Northern Ireland,NewAdmissions,18
04/04/2020,Scotland,NewAdmissions,154
05/04/2020,Northern Ireland,NewAdmissions,8
05/04/2020,England,NewAdmissions,2592
05/04/2020,Scotland,NewAdmissions,158
05/04/2020,Wales,NewAdmissions,134
06/04/2020,Wales,NewAdmissions,123
06/04/2020,England,NewAdmissions,2679
06/04/2020,Scotland,NewAdmissions,203
06/04/2020,Northern Ireland,NewAdmissions,22
07/04/2020,Northern Ireland,NewAdmissions,30
07/04/2020,Scotland,NewAdmissions,171
07/04/2020,England,NewAdmissions,2744
07/04/2020,Wales,NewAdmissions,196
08/04/2020,Wales,NewAdmissions,158
08/04/2020,Northern Ireland,NewAdmissions,21
08/04/2020,Scotland,NewAdmissions,157
08/04/2020,England,NewAdmissions,2619
09/04/2020,England,NewAdmissions,2340
09/04/2020,Scotland,NewAdmissions,132
09/04/2020,Northern Ireland,NewAdmissions,25
09/04/2020,Wales,NewAdmissions,126
10/04/2020,Wales,NewAdmissions,129
10/04/2020,Scotland,NewAdmissions,116
10/04/2020,Northern Ireland,NewAdmissions,9
10/04/2020,England,NewAdmissions,2196
11/04/2020,England,NewAdmissions,1955
11/04/2020,Northern Ireland,NewAdmissions,19
11/04/2020,Scotland,NewAdmissions,80
11/04/2020,Wales,NewAdmissions,106
12/04/2020,Wales,NewAdmissions,168
12/04/2020,England,NewAdmissions,1791
12/04/2020,Scotland,NewAdmissions,85
12/04/2020,Northern Ireland,NewAdmissions,19
13/04/2020,England,NewAdmissions,1912
13/04/2020,Northern Ireland,NewAdmissions,17
13/04/2020,Scotland,NewAdmissions,103
13/04/2020,Wales,NewAdmissions,130
14/04/2020,Wales,NewAdmissions,106
14/04/2020,Scotland,NewAdmissions,101
14/04/2020,England,NewAdmissions,1859
14/04/2020,Northern Ireland,NewAdmissions,20
15/04/2020,Scotland,NewAdmissions,98
15/04/2020,England,NewAdmissions,1608
15/04/2020,Northern Ireland,NewAdmissions,21
15/04/2020,Wales,NewAdmissions,151
16/04/2020,Northern Ireland,NewAdmissions,19
16/04/2020,Wales,NewAdmissions,104
16/04/2020,England,NewAdmissions,1777
16/04/2020,Scotland,NewAdmissions,97
17/04/2020,Scotland,NewAdmissions,109
17/04/2020,England,NewAdmissions,1674
17/04/2020,Wales,NewAdmissions,151
17/04/2020,Northern Ireland,NewAdmissions,24
18/04/2020,Northern Ireland,NewAdmissions,7
18/04/2020,Wales,NewAdmissions,129
18/04/2020,Scotland,NewAdmissions,75
18/04/2020,England,NewAdmissions,1411
19/04/2020,England,NewAdmissions,1475
19/04/2020,Scotland,NewAdmissions,58
19/04/2020,Wales,NewAdmissions,102
19/04/2020,Northern Ireland,NewAdmissions,14
20/04/2020,Wales,NewAdmissions,114
20/04/2020,Northern Ireland,NewAdmissions,29
20/04/2020,Scotland,NewAdmissions,67
20/04/2020,England,NewAdmissions,1522
21/04/2020,Scotland,NewAdmissions,69
21/04/2020,England,NewAdmissions,1495
21/04/2020,Northern Ireland,NewAdmissions,20
21/04/2020,Wales,NewAdmissions,117
22/04/2020,Wales,NewAdmissions,127
22/04/2020,Northern Ireland,NewAdmissions,17
22/04/2020,Scotland,NewAdmissions,66
22/04/2020,England,NewAdmissions,1310
23/04/2020,Scotland,NewAdmissions,66
23/04/2020,England,NewAdmissions,1289
23/04/2020,Northern Ireland,NewAdmissions,17
23/04/2020,Wales,NewAdmissions,134
24/04/2020,Wales,NewAdmissions,135
24/04/2020,Northern Ireland,NewAdmissions,10
24/04/2020,England,NewAdmissions,1277
24/04/2020,Scotland,NewAdmissions,91
25/04/2020,England,NewAdmissions,1080
25/04/2020,Scotland,NewAdmissions,42
25/04/2020,Wales,NewAdmissions,112
25/04/2020,Northern Ireland,NewAdmissions,12
26/04/2020,Northern Ireland,NewAdmissions,8
26/04/2020,Wales,NewAdmissions,97
26/04/2020,Scotland,NewAdmissions,39
