Date,Nation,Metric,Vaccine
11/01/2021,England,FullyVaccByDate,19312
11/01/2021,Northern Ireland,FullyVaccByDate,1339
11/01/2021,Wales,FullyVaccByDate,18
11/01/2021,Scotland,FullyVaccByDate,99
12/01/2021,Scotland,FullyVaccByDate,133
12/01/2021,Northern Ireland,FullyVaccByDate,2552
12/01/2021,Wales,FullyVaccByDate,11
12/01/2021,England,FullyVaccByDate,13369
13/01/2021,Northern Ireland,FullyVaccByDate,1170
13/01/2021,England,FullyVaccByDate,8362
13/01/2021,Wales,FullyVaccByDate,13
13/01/2021,Scotland,FullyVaccByDate,200
14/01/2021,Scotland,FullyVaccByDate,141
14/01/2021,England,FullyVaccByDate,4854
14/01/2021,Wales,FullyVaccByDate,8
14/01/2021,Northern Ireland,FullyVaccByDate,254
15/01/2021,England,FullyVaccByDate,3817
15/01/2021,Wales,FullyVaccByDate,
15/01/2021,Northern Ireland,FullyVaccByDate,210
15/01/2021,Scotland,FullyVaccByDate,181
16/01/2021,Scotland,FullyVaccByDate,145
16/01/2021,Northern Ireland,FullyVaccByDate,700
16/01/2021,Wales,FullyVaccByDate,
16/01/2021,England,FullyVaccByDate,1775
17/01/2021,Northern Ireland,FullyVaccByDate,842
17/01/2021,Wales,FullyVaccByDate,72
17/01/2021,England,FullyVaccByDate,1284
17/01/2021,Scotland,FullyVaccByDate,41
18/01/2021,Scotland,FullyVaccByDate,188
18/01/2021,England,FullyVaccByDate,3750
18/01/2021,Wales,FullyVaccByDate,64
18/01/2021,Northern Ireland,FullyVaccByDate,563
19/01/2021,England,FullyVaccByDate,2989
19/01/2021,Wales,FullyVaccByDate,105
19/01/2021,Northern Ireland,FullyVaccByDate,381
19/01/2021,Scotland,FullyVaccByDate,284
20/01/2021,Scotland,FullyVaccByDate,296
20/01/2021,England,FullyVaccByDate,2723
20/01/2021,Wales,FullyVaccByDate,26
20/01/2021,Northern Ireland,FullyVaccByDate,366
21/01/2021,Wales,FullyVaccByDate,19
21/01/2021,England,FullyVaccByDate,2334
21/01/2021,Northern Ireland,FullyVaccByDate,184
21/01/2021,Scotland,FullyVaccByDate,223
22/01/2021,Scotland,FullyVaccByDate,499
22/01/2021,Wales,FullyVaccByDate,54
22/01/2021,England,FullyVaccByDate,1118
22/01/2021,Northern Ireland,FullyVaccByDate,150
23/01/2021,England,FullyVaccByDate,774
23/01/2021,Northern Ireland,FullyVaccByDate,27
23/01/2021,Wales,FullyVaccByDate,47
23/01/2021,Scotland,FullyVaccByDate,195
24/01/2021,Scotland,FullyVaccByDate,155
24/01/2021,Northern Ireland,FullyVaccByDate,26
24/01/2021,Wales,FullyVaccByDate,27
24/01/2021,England,FullyVaccByDate,610
25/01/2021,England,FullyVaccByDate,1326
25/01/2021,Northern Ireland,FullyVaccByDate,82
25/01/2021,Wales,FullyVaccByDate,38
25/01/2021,Scotland,FullyVaccByDate,522
26/01/2021,Scotland,FullyVaccByDate,536
26/01/2021,Wales,FullyVaccByDate,58
26/01/2021,Northern Ireland,FullyVaccByDate,115
26/01/2021,England,FullyVaccByDate,1001
27/01/2021,Northern Ireland,FullyVaccByDate,1017
27/01/2021,England,FullyVaccByDate,1090
27/01/2021,Wales,FullyVaccByDate,35
27/01/2021,Scotland,FullyVaccByDate,187
28/01/2021,Scotland,FullyVaccByDate,312
28/01/2021,Northern Ireland,FullyVaccByDate,143
28/01/2021,Wales,FullyVaccByDate,43
28/01/2021,England,FullyVaccByDate,1271
29/01/2021,England,FullyVaccByDate,1526
29/01/2021,Northern Ireland,FullyVaccByDate,76
29/01/2021,Wales,FullyVaccByDate,33
29/01/2021,Scotland,FullyVaccByDate,543
30/01/2021,Scotland,FullyVaccByDate,156
30/01/2021,England,FullyVaccByDate,10252
30/01/2021,Wales,FullyVaccByDate,36
30/01/2021,Northern Ireland,FullyVaccByDate,177
31/01/2021,Wales,FullyVaccByDate,55
31/01/2021,Northern Ireland,FullyVaccByDate,289
31/01/2021,England,FullyVaccByDate,2757
31/01/2021,Scotland,FullyVaccByDate,55
01/02/2021,Scotland,FullyVaccByDate,496
01/02/2021,Northern Ireland,FullyVaccByDate,270
01/02/2021,Wales,FullyVaccByDate,225
01/02/2021,England,FullyVaccByDate,1596
02/02/2021,Northern Ireland,FullyVaccByDate,273
02/02/2021,Wales,FullyVaccByDate,94
02/02/2021,England,FullyVaccByDate,1386
02/02/2021,Scotland,FullyVaccByDate,413
03/02/2021,Scotland,FullyVaccByDate,273
03/02/2021,England,FullyVaccByDate,2282
03/02/2021,Wales,FullyVaccByDate,56
03/02/2021,Northern Ireland,FullyVaccByDate,384
04/02/2021,Wales,FullyVaccByDate,419
04/02/2021,England,FullyVaccByDate,2611
04/02/2021,Northern Ireland,FullyVaccByDate,508
04/02/2021,Scotland,FullyVaccByDate,498
05/02/2021,Scotland,FullyVaccByDate,803
05/02/2021,Northern Ireland,FullyVaccByDate,484
05/02/2021,Wales,FullyVaccByDate,836
05/02/2021,England,FullyVaccByDate,1941
06/02/2021,Northern Ireland,FullyVaccByDate,676
06/02/2021,England,FullyVaccByDate,601
06/02/2021,Wales,FullyVaccByDate,135
06/02/2021,Scotland,FullyVaccByDate,250
07/02/2021,Scotland,FullyVaccByDate,108
07/02/2021,England,FullyVaccByDate,312
07/02/2021,Wales,FullyVaccByDate,186
07/02/2021,Northern Ireland,FullyVaccByDate,256
08/02/2021,Wales,FullyVaccByDate,699
08/02/2021,England,FullyVaccByDate,1419
08/02/2021,Northern Ireland,FullyVaccByDate,126
08/02/2021,Scotland,FullyVaccByDate,1567
09/02/2021,Scotland,FullyVaccByDate,609
09/02/2021,Wales,FullyVaccByDate,196
09/02/2021,Northern Ireland,FullyVaccByDate,183
09/02/2021,England,FullyVaccByDate,2173
10/02/2021,Wales,FullyVaccByDate,108
10/02/2021,Northern Ireland,FullyVaccByDate,365
10/02/2021,England,FullyVaccByDate,4092
10/02/2021,Scotland,FullyVaccByDate,329
11/02/2021,Scotland,FullyVaccByDate,371
11/02/2021,Wales,FullyVaccByDate,215
11/02/2021,Northern Ireland,FullyVaccByDate,415
11/02/2021,England,FullyVaccByDate,4646
12/02/2021,England,FullyVaccByDate,3733
12/02/2021,Northern Ireland,FullyVaccByDate,385
12/02/2021,Wales,FullyVaccByDate,214
12/02/2021,Scotland,FullyVaccByDate,443
