Date,Nation,Metric,Vaccine
08/12/2020,England,CumFullyVaccByDate,7917
09/12/2020,England,CumFullyVaccByDate,8062
10/12/2020,Scotland,CumFullyVaccByDate,1
10/12/2020,England,CumFullyVaccByDate,8181
11/12/2020,Scotland,CumFullyVaccByDate,2
11/12/2020,England,CumFullyVaccByDate,8264
12/12/2020,Scotland,CumFullyVaccByDate,3
12/12/2020,England,CumFullyVaccByDate,8289
13/12/2020,England,CumFullyVaccByDate,8320
13/12/2020,Scotland,CumFullyVaccByDate,3
14/12/2020,Scotland,CumFullyVaccByDate,4
14/12/2020,England,CumFullyVaccByDate,8473
15/12/2020,England,CumFullyVaccByDate,8590
15/12/2020,Scotland,CumFullyVaccByDate,9
16/12/2020,Scotland,CumFullyVaccByDate,11
16/12/2020,England,CumFullyVaccByDate,8745
17/12/2020,Scotland,CumFullyVaccByDate,11
17/12/2020,England,CumFullyVaccByDate,8918
18/12/2020,Scotland,CumFullyVaccByDate,18
18/12/2020,England,CumFullyVaccByDate,9073
19/12/2020,England,CumFullyVaccByDate,9090
19/12/2020,Scotland,CumFullyVaccByDate,18
20/12/2020,England,CumFullyVaccByDate,9108
20/12/2020,Scotland,CumFullyVaccByDate,19
21/12/2020,England,CumFullyVaccByDate,9187
21/12/2020,Scotland,CumFullyVaccByDate,30
22/12/2020,Scotland,CumFullyVaccByDate,37
22/12/2020,England,CumFullyVaccByDate,9250
23/12/2020,England,CumFullyVaccByDate,9283
23/12/2020,Scotland,CumFullyVaccByDate,42
24/12/2020,England,CumFullyVaccByDate,9287
24/12/2020,Scotland,CumFullyVaccByDate,43
25/12/2020,Scotland,CumFullyVaccByDate,43
25/12/2020,England,CumFullyVaccByDate,9290
26/12/2020,England,CumFullyVaccByDate,9296
26/12/2020,Scotland,CumFullyVaccByDate,43
27/12/2020,England,CumFullyVaccByDate,9297
27/12/2020,Scotland,CumFullyVaccByDate,43
28/12/2020,Scotland,CumFullyVaccByDate,1
28/12/2020,England,CumFullyVaccByDate,9306
29/12/2020,England,CumFullyVaccByDate,11487
29/12/2020,Scotland,CumFullyVaccByDate,8
30/12/2020,England,CumFullyVaccByDate,15618
30/12/2020,Scotland,CumFullyVaccByDate,31
31/12/2020,Scotland,CumFullyVaccByDate,41
31/12/2020,England,CumFullyVaccByDate,20198
01/01/2021,Scotland,CumFullyVaccByDate,42
01/01/2021,England,CumFullyVaccByDate,21264
02/01/2021,Scotland,CumFullyVaccByDate,50
02/01/2021,England,CumFullyVaccByDate,25781
03/01/2021,Scotland,CumFullyVaccByDate,50
03/01/2021,England,CumFullyVaccByDate,29431
04/01/2021,Scotland,CumFullyVaccByDate,60
04/01/2021,England,CumFullyVaccByDate,38469
05/01/2021,England,CumFullyVaccByDate,79654
05/01/2021,Scotland,CumFullyVaccByDate,978
06/01/2021,Scotland,CumFullyVaccByDate,2001
06/01/2021,England,CumFullyVaccByDate,149561
07/01/2021,England,CumFullyVaccByDate,218432
07/01/2021,Scotland,CumFullyVaccByDate,2333
08/01/2021,Scotland,CumFullyVaccByDate,2732
08/01/2021,England,CumFullyVaccByDate,271354
09/01/2021,England,CumFullyVaccByDate,326984
09/01/2021,Scotland,CumFullyVaccByDate,2967
10/01/2021,Scotland,CumFullyVaccByDate,2979
10/01/2021,England,CumFullyVaccByDate,366898
11/01/2021,Scotland,CumFullyVaccByDate,3125
11/01/2021,England,CumFullyVaccByDate,381762
12/01/2021,England,CumFullyVaccByDate,391544
12/01/2021,Scotland,CumFullyVaccByDate,3298
13/01/2021,England,CumFullyVaccByDate,397580
13/01/2021,Scotland,CumFullyVaccByDate,3554
14/01/2021,Scotland,CumFullyVaccByDate,3751
14/01/2021,England,CumFullyVaccByDate,401187
15/01/2021,England,CumFullyVaccByDate,403427
15/01/2021,Scotland,CumFullyVaccByDate,3961
16/01/2021,England,CumFullyVaccByDate,404697
16/01/2021,Scotland,CumFullyVaccByDate,4096
17/01/2021,England,CumFullyVaccByDate,405482
17/01/2021,Scotland,CumFullyVaccByDate,4173
18/01/2021,England,CumFullyVaccByDate,406448
18/01/2021,Scotland,CumFullyVaccByDate,4452
19/01/2021,Scotland,CumFullyVaccByDate,4761
19/01/2021,England,CumFullyVaccByDate,407752
20/01/2021,England,CumFullyVaccByDate,409371
20/01/2021,Scotland,CumFullyVaccByDate,5134
21/01/2021,Scotland,CumFullyVaccByDate,5398
21/01/2021,England,CumFullyVaccByDate,410882
22/01/2021,England,CumFullyVaccByDate,411596
22/01/2021,Scotland,CumFullyVaccByDate,5911
23/01/2021,England,CumFullyVaccByDate,412242
23/01/2021,Scotland,CumFullyVaccByDate,6144
24/01/2021,Scotland,CumFullyVaccByDate,6320
24/01/2021,England,CumFullyVaccByDate,412782
25/01/2021,Scotland,CumFullyVaccByDate,6892
25/01/2021,England,CumFullyVaccByDate,413376
26/01/2021,England,CumFullyVaccByDate,413924
26/01/2021,Scotland,CumFullyVaccByDate,7545
27/01/2021,England,CumFullyVaccByDate,414575
27/01/2021,Scotland,CumFullyVaccByDate,7800
28/01/2021,Scotland,CumFullyVaccByDate,8091
28/01/2021,England,CumFullyVaccByDate,415799
29/01/2021,England,CumFullyVaccByDate,418111
29/01/2021,Scotland,CumFullyVaccByDate,8664
30/01/2021,England,CumFullyVaccByDate,420478
30/01/2021,Scotland,CumFullyVaccByDate,8877
31/01/2021,England,CumFullyVaccByDate,422891
31/01/2021,Scotland,CumFullyVaccByDate,8928
01/02/2021,England,CumFullyVaccByDate,424317
01/02/2021,Scotland,CumFullyVaccByDate,9568
02/02/2021,England,CumFullyVaccByDate,425668
02/02/2021,Scotland,CumFullyVaccByDate,10044
